text,label
"Bhaiya, subah ka newspaper nahi aaya.","safe"
"TRAI notification: All your numbers will be blocked in 2 hours due to illegal activity. Press 9.","scam"
"HDFC bank: Your credit card application is approved, claim your physical card here.","scam"
"Just confirming our appointment at 2 PM.","safe"
"Can you share the recipe you used yesterday?","safe"
"We noticed a login from an unknown device to your Instagram account. If this wasn't you, click here.","scam"
"Paytm KYC suspended. Complete KYC in 24 hrs to avoid wallet block.","scam"
"Babu khana kha liya?","safe"
"Bhai aaj party ka kya scene hai?","safe"
"Dear customer, you have won a free holiday trip to Goa. Call now to claim.","scam"
"Urgent warning: Your computer has a virus. Call Microsoft tech support at this number.","scam"
"Don't forget to buy vegetables on your way back.","safe"
"Can we talk for a minute? It's important.","safe"
"Your order has been shipped and will be delivered by tomorrow.","safe"
"You've received a voice message from an unknown number. Listen here.","scam"
"Your WhatsApp will expire today. Renew subscription for Rs 100.","scam"
"What time are we leaving for the airport?","safe"
"The document has been successfully signed and uploaded.","safe"
"Your OTP for login to Govt Portal is 894523. Do not share.","safe"
"Dear user, your phone battery is damaged. Download this app to fix.","scam"
"Flipkart Big Billion Days! iPhone starting at Rs 10,000. Book now.","scam"
"Can you please send me the presentation slides?","safe"
"I'll send you the details by email tomorrow morning.","safe"
"You have been specially selected to invest in our high return crypto scheme. 100% daily profit.","scam"
"Electricity board: Your previous month bill Rs 1500 is unpaid. Power cut at 9PM tonight. Call officer.","scam"
"What a great performance by the team! Loved it.","safe"
"Please try to complete this task by EOD.","safe"
"Get free followers on Instagram instantly! Login with your password here.","scam"
"Your car insurance is expiring. Renew now with a 50% discount!","scam"
"See you at the gym tomorrow.","safe"
"Don't forget your umbrella, it might rain today.","safe"
"Your Netflix account is locked. Please update your payment information to restore access.","scam"
"You have a package waiting for delivery. Confirm your address to receive it.","scam"
"Let's grab lunch somewhere near the office.","safe"
"Can you help me with this coding problem?","safe"
"Your bank account has been compromised. Transfer your funds to this secure account immediately.","scam"
"Win a brand new car! Just text "WIN" to 55555.","scam"
"I'll be there in 5 minutes.","safe"
"Thanks for the help yesterday.","safe"
"Your credit score has dropped. Click here to check your report and fix it.","scam"
"You have unpaid parking tickets. Pay now to avoid a warrant for your arrest.","scam"
"What are you up to this weekend?","safe"
"Just wanted to say hi and see how you're doing.","safe"
"Your computer has been infected with malware. Download our software to remove it.","scam"
"You've been selected for a free trial of our premium service. Sign up now.","scam"
"I'm running a bit behind schedule.","safe"
"Can we reschedule our meeting for tomorrow?","safe"
"Your account has been suspended due to suspicious activity. Verify your identity to reactivate.","scam"
"You have won a free gift card! Click here to claim it.","scam"
"Let's go for a walk later.","safe"
"Can you pick up some groceries on your way home?","safe"
"Your credit card has been charged for a purchase you didn't make. Call us immediately.","scam"
"You have a pending friend request from a beautiful girl. Click here to view her profile.","scam"
"I'm feeling a bit under the weather today.","safe"
"Can you cover my shift tonight?","safe"
"Your email account has been hacked. Change your password immediately.","scam"
"You've been selected to participate in a paid survey. Earn up to $50 per hour.","scam"
"Let's watch a movie tonight.","safe"
"Can you help me move some furniture this weekend?","safe"
"Your bank account is overdrawn. Deposit funds immediately to avoid fees.","scam"
"You have won a free vacation! Call us to claim your prize.","scam"
"I'm so exhausted from work today.","safe"
"Can we talk about what happened yesterday?","safe"
"Your order has been cancelled due to a payment error. Please update your payment information.","scam"
"You have been selected to receive a free sample of our new product. Reply with your address.","scam"
"Let's go out for dinner tonight.","safe"
"Can you help me with my homework?","safe"
"Your credit card has been declined. Please use a different payment method.","scam"
"You have won a huge jackpot! Click here to claim your winnings.","scam"
"I'm so excited for the weekend!","safe"
"Can we meet up for coffee later?","safe"
"Your account has been restricted pending a security review. Please contact support.","scam"
"You have been selected for a special offer. Click here to learn more.","scam"
"Let's go shopping today.","safe"
"Can you help me clean the house?","safe"
"Your order has been delayed due to unforeseen circumstances. Please check the tracking link.","scam"
"You have won a free gift! Click here to choose your prize.","scam"
"I'm so bored right now.","safe"
"Can we do something fun today?","safe"
"Your account has been closed due to a violation of our terms of service.","scam"
"You have been selected to participate in a clinical trial. Earn up to $1000.","scam"
"Let's go to the park later.","safe"
"Can you help me fix my car?","safe"
"Your credit score has improved. Click here to check your report and see the change.","scam"
"You have won a free cruise! Call us to book your trip.","scam"
"I'm so stressed out from work.","safe"
"Can we talk about something else?","safe"
"Your account has been compromised. Please change your password and enable two-factor authentication.","scam"
"You have been selected to receive a free consultation with a financial advisor. Sign up now.","scam"
"Let's go to the beach this weekend.","safe"
"Can you help me pack for my trip?","safe"
"Your order has been shipped and will be delivered by tomorrow.","safe"
"You have won a free gift card! Click here to claim it.","scam"
"Your SBI bank account is compromised. Download our apk to secure your account.","scam"
"Congratulations, you have pre approved loan of Rs 5 lakh. Share pancard on whatsapp.","scam"
